cell,cell,batch,leiden,Individual,Technology,Brain Region,AD Index,Total Methylome Reads,Overall Adjusted mCG%,Overall Adjusted mCH%,Overall mCCC%,tsne_0,tsne_1,umap_0,umap_1,pca_0,pca_1,pca_2,pca_3,MajorCluster,ClusterAnno,MajorType,ClusterAnnoHuslColor,ClusterAnnoTab10Color,SubCluster,SubClusterAnno,m3c_cluster
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A2_AD008,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A2_AD008,snm3C-seq,3,UMB5577,snm3C-seq,BA10,AD008,2362569.0,0.7767133679487109,0.05338205205310235,0.013628836285517773,49.744400637397675,-14.796567823979085,7.071608051052261,24.0073987383814,0.4170453044589655,0.11544968242438755,0.45156012006726415,0.11797484068276187,5,Exc L4-5 FOXP2,Exc,#99682c,#b56014,0,Exc L4-5 FOXP2 0,M3C Exc L4-5 FOXP2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A2_AD012,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A2_AD012,snm3C-seq,1,UMB5577,snm3C-seq,BA10,AD012,2915156.0,0.7881537378104246,0.009833997623480473,0.008127196898669732,-18.485839222514958,-16.443242841293443,23.415471614715607,13.197328357447113,-0.404362790625397,0.35046832220362867,-0.028501784976888635,-0.10847066199556267,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,3,NonN Oligo MBP 3,M3C NonN Oligo MBP PDGFRA
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD002,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD002,snm3C-seq,0,UMB5577,snm3C-seq,BA10,AD002,1480167.0,0.7491741085605559,0.059383201461232875,0.016518854830741725,6.024173965093924,14.554539560414526,1.7598959811018025,9.467222581938884,0.6499581459945717,0.03632930097081957,-0.16246378084736546,-0.07746854076860317,20,Exc L2-4 RORB,Exc,#af5666,#205a83,1,Exc L2-4 RORB 1,M3C Exc L2-4 RORB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD004,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD004,snm3C-seq,1,UMB5577,snm3C-seq,BA10,AD004,584845.0,0.7703183934930569,0.013230207818067984,0.008890251907699891,-15.74824211943559,-17.117383643823796,24.17012888226747,13.82400566340621,-0.36157573435556234,0.25974428613339323,-0.007152301064691959,-0.06449785229525772,1,NonN Oligo MBP,NonN,#f563d3,#bcbd22,2,NonN Oligo MBP 2,M3C NonN Oligo MBP AGAP1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD006,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD006,snm3C-seq,0,UMB5577,snm3C-seq,BA10,AD006,1773103.0,0.7516179717301058,0.0536185172426493,0.01670659779379334,-0.7117347462890558,9.426185094305986,0.7016655936925171,9.670808350646684,0.5681250981357264,0.06710132706528893,-0.16469180835353772,-0.08086698222814288,20,Exc L2-4 RORB,Exc,#af5666,#205a83,1,Exc L2-4 RORB 1,M3C Exc L2-4 RORB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD007,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD007,snm3C-seq,17,UMB5577,snm3C-seq,BA10,AD007,1678452.0,0.7820228138068784,0.06921773741222198,0.01759690145864563,21.522680793737585,-11.710528552725275,3.81655963444033,18.00022439310551,0.28606607086792696,0.10820886747895286,0.39148657062530484,0.14696276629877114,13,Exc L4 PLCH1,Exc,#d58c31,#ff7f0e,2,Exc L4 PLCH1 2,M3C Exc L2-4 RORB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD008,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD008,snm3C-seq,0,UMB5577,snm3C-seq,BA10,AD008,1311010.0,0.7660863966411998,0.06550896198587895,0.017537320400823158,0.6667338310875459,4.6261072411966575,-0.2513974720607128,10.446942215195248,0.6215320614890315,0.0726496965897143,-0.14731103846155036,-0.026693715597218816,20,Exc L2-4 RORB,Exc,#af5666,#205a83,1,Exc L2-4 RORB 1,M3C Exc L2-4 RORB
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD010,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD010,snm3C-seq,10,UMB5577,snm3C-seq,BA10,AD010,1662566.0,0.7954296519386432,0.06923596481753186,0.017613205635889147,-17.121271545597015,49.61418700103044,28.44586607913242,25.470406142063066,0.3164990474493207,0.009135513905039964,0.5215753743670966,-0.14440279654316066,3,Exc L4-6 LRRK1,Exc,#a39f31,#2ca02c,3,Exc L4-6 LRRK1 3,M3C Exc L4-6 LRRK1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD012,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A3_AD012,snm3C-seq,19,UMB5577,snm3C-seq,BA10,AD012,1642894.0,0.8077960762746262,0.03729278641756981,0.012712370827896616,28.699229475110016,29.505100527036408,25.275838398260436,-11.36858647535165,-0.40421505289415266,-0.1860009389941461,-0.056270098954874656,0.24276866181097437,17,Inh CGE LAMP5,Inh,#2e6286,#824c71,1,Inh CGE LAMP5 1,M3C Inh CGE NDNF
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A4_AD002,181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A4_AD002,snm3C-seq,4,UMB5577,snm3C-seq,BA10,AD002,1533101.0,0.7755258980624123,0.024271038020757783,0.01252818000811477,8.642102879823303,39.98491660582976,24.668684333207192,5.098075308263517,-0.4870228740988459,0.40646841551219964,-0.07836590685658722,0.030290227657254046,7,NonN Astro FGF3R,NonN,#c053a7,#959622,0,NonN Astro FGF3R 0,M3C NonN Astro FGF3R
